tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g/rect_75,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 0]",312.5733333333333,327.08000000000004,139.2,270.23999999999995,204.71999999999997,319.8266666666667,131.03999999999996,14.506666666666717,1397.7600000000002,0.0
svg/g/rect_74,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 1]",296.70666666666665,311.21333333333337,129.95999999999998,270.36,200.16,303.96000000000004,140.40000000000003,14.506666666666717,1497.6000000000001,0.0
svg/g/rect_73,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 2]",280.9533333333333,295.46,133.2,270.23999999999995,201.71999999999997,288.20666666666665,137.03999999999996,14.50666666666666,1461.7600000000002,0.0
svg/g/rect_72,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 3]",265.2,279.70666666666665,135.35999999999999,270.36,202.86,272.4533333333333,135.00000000000003,14.50666666666666,1440.0,0.0
svg/g/rect_71,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 4]",249.55999999999997,264.06666666666666,154.92,270.36,212.64,256.81333333333333,115.44000000000003,14.506666666666689,1231.3600000000001,0.0
svg/g/rect_70,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 5]",216.46666666666667,231.76666666666665,167.28,270.23999999999995,218.76,224.11666666666667,102.95999999999995,15.299999999999983,1158.3,0.0
svg/g/rect_69,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 6]",200.82666666666665,215.33333333333331,176.51999999999998,270.23999999999995,223.37999999999997,208.07999999999998,93.71999999999997,14.50666666666666,999.68,0.0
svg/g/rect_68,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 7]",184.62,199.35333333333332,174.23999999999998,270.35999999999996,222.29999999999995,191.98666666666668,96.11999999999998,14.73333333333332,1041.3,0.0
svg/g/rect_67,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 8]",169.20666666666668,183.37333333333333,180.23999999999998,270.35999999999996,225.29999999999995,176.29000000000002,90.11999999999998,14.166666666666657,938.7499999999999,0.0
svg/g/rect_66,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 9]",152.66,167.61999999999998,185.04,270.35999999999996,227.7,160.14,85.31999999999996,14.95999999999998,938.5199999999999,0.0
svg/g/rect_65,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 10]",136.56666666666666,151.29999999999998,189.48,270.48,229.98000000000002,143.93333333333334,81.00000000000003,14.73333333333332,877.5,0.0
svg/g/rect_64,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 11]",120.92666666666666,135.43333333333334,190.68,270.48,230.58,128.18,79.80000000000001,14.506666666666675,851.2,0.0
svg/g/rect_63,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 12]",105.06,119.68,203.51999999999998,270.47999999999996,236.99999999999997,112.37,66.95999999999998,14.620000000000005,719.8199999999999,0.0
svg/g/rect_62,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 13]",89.19333333333333,103.81333333333335,217.43999999999997,270.35999999999996,243.89999999999998,96.50333333333333,52.91999999999999,14.620000000000019,568.89,0.0
svg/g/rect_61,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 14]",72.87333333333333,87.83333333333333,228.72,270.47999999999996,249.59999999999997,80.35333333333332,41.75999999999996,14.959999999999994,459.35999999999996,0.0
svg/g/rect_60,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 15]",56.666666666666664,71.62666666666667,243.11999999999998,270.48,256.8,64.14666666666666,27.360000000000042,14.96,300.96,0.0
svg/g/rect_59,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 16]",41.13999999999999,55.19333333333333,251.51999999999998,270.48,261.0,48.16666666666666,18.960000000000036,14.053333333333335,195.92000000000002,0.0
svg/g/rect_58,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 17]",25.046666666666667,39.78,261.12,270.48,265.8,32.413333333333334,9.360000000000014,14.733333333333334,101.39999999999999,0.0
svg/g/rect_57,0,1.0,201.25,57.14285714285714,50.588235294117645,-1.0,-1.0,-1.0,0.0,"[0, 0, 18]",232.9,247.85999999999999,162.23999999999998,270.23999999999995,216.23999999999995,240.38,107.99999999999997,14.95999999999998,1188.0,0.0
svg/g/rect_56,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 19]",312.5733333333333,327.08000000000004,270.23999999999995,418.92,344.58,319.8266666666667,148.68000000000006,14.506666666666717,1585.92,0.0
svg/g/rect_55,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 20]",296.70666666666665,311.21333333333337,270.23999999999995,407.87999999999994,339.05999999999995,303.96000000000004,137.64,14.506666666666717,1468.16,0.0
svg/g/rect_54,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 21]",280.9533333333333,295.46,270.23999999999995,402.72,336.48,288.20666666666665,132.48000000000008,14.50666666666666,1413.1200000000001,0.0
svg/g/rect_53,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 22]",265.2,279.70666666666665,270.23999999999995,395.03999999999996,332.64,272.4533333333333,124.80000000000001,14.50666666666666,1331.2,0.0
svg/g/rect_52,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 23]",249.55999999999997,264.06666666666666,270.23999999999995,383.87999999999994,327.05999999999995,256.81333333333333,113.63999999999999,14.506666666666689,1212.16,0.0
svg/g/rect_51,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 24]",216.46666666666667,231.76666666666665,270.23999999999995,370.8,320.52,224.11666666666667,100.56000000000006,15.299999999999983,1131.3,0.0
svg/g/rect_50,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 25]",200.82666666666665,215.33333333333331,270.23999999999995,366.35999999999996,318.29999999999995,208.07999999999998,96.12,14.50666666666666,1025.28,0.0
svg/g/rect_49,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 26]",184.62,199.35333333333332,270.23999999999995,369.35999999999996,319.79999999999995,191.98666666666668,99.12,14.73333333333332,1073.8,0.0
svg/g/rect_48,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 27]",169.20666666666668,183.37333333333333,270.23999999999995,357.9599999999999,314.0999999999999,176.29000000000002,87.71999999999997,14.166666666666657,913.7499999999999,0.0
svg/g/rect_47,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 28]",152.66,167.61999999999998,270.23999999999995,351.9599999999999,311.0999999999999,160.14,81.71999999999997,14.95999999999998,898.9199999999998,0.0
svg/g/rect_46,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 29]",136.56666666666666,151.29999999999998,270.23999999999995,348.23999999999995,309.23999999999995,143.93333333333334,78.0,14.73333333333332,845.0,0.0
svg/g/rect_45,0,1.0,334.0625,84.21052631578948,55.294117647058826,-1.0,-1.0,-1.0,0.0,"[0, 0, 30]",120.92666666666666,135.43333333333334,270.23999999999995,343.44,306.84,128.18,73.20000000000005,14.506666666666675,780.8000000000001,0.0
