tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_28/g_34/rect_53,4.0053,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 0]",45.0,75.0,371.0,475.0,423.0,60.0,104.0,30.0,3120.0,268.0
svg/g_28/g_34/rect_52,4.0052,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 1]",237.0,267.0,425.0,475.0,450.0,252.0,50.0,30.0,1500.0,160.0
svg/g_28/g_34/rect_51,4.0051,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 2]",109.0,139.0,309.0,475.0,392.0,124.0,166.0,30.0,4980.0,392.0
svg/g_28/g_34/rect_50,4.005,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 3]",205.0,235.0,401.0,475.0,438.0,220.0,74.0,30.0,2220.0,208.0
svg/g_28/g_34/rect_49,4.0049,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 4]",77.0,107.0,350.0,475.0,412.5,92.0,125.0,30.0,3750.0,310.0
svg/g_28/g_34/rect_48,4.0048,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 5]",141.0,171.0,309.0,475.0,392.0,156.0,166.0,30.0,4980.0,392.0
svg/g_28/g_34/rect_47,4.0047,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 6]",301.0,331.0,437.0,475.0,456.0,316.0,38.0,30.0,1140.0,136.0
svg/g_28/g_34/rect_46,4.0046,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 7]",173.0,203.0,360.0,475.0,417.5,188.0,115.0,30.0,3450.0,290.0
svg/g_28/g_34/rect_45,4.0045,1.0,44.347826086956516,98.29059829059827,77.05882352941175,-1.0,-1.0,-1.0,1.0,"[0, 0, 0, 8]",269.0,299.0,433.0,475.0,454.0,284.0,42.0,30.0,1260.0,144.0
svg/g_28/g_33/rect_44,4.0044,1.0,19.14110429447853,96.44970414201185,66.86274509803923,-1.0,-1.0,-1.0,1.0,"[0, 0, 1, 0]",45.0,75.0,157.0,371.0,264.0,60.0,214.0,30.0,6420.0,488.0
