column,q1_value,q3_value
tag,0.0,0.75
opacity,1.0,1.0
fill_h_cos,0.1008768404960534,1.0
fill_h_sin,0.3080825490934995,0.7198673605029529
fill_s_n,0.3767441860465117,0.9905660377358492
fill_l_n,0.4431372549019607,0.6490196078431373
stroke_h_cos,0.0,1.0
stroke_h_sin,0.0,0.5
stroke_s_n,0.0,0.0
stroke_l_n,0.0,0.9019607843137256
stroke_width,0.0,1.0
bbox_left_n,0.1700821463926025,0.7009512482895623
bbox_right_n,0.2615399988211845,0.7912006955511051
bbox_top_n,0.2225495009000163,0.7075862438588656
bbox_bottom_n,0.3553200379395416,0.8390126925474379
bbox_mds_1,0.2453260137673291,0.6793675638847467
bbox_mds_2,0.23974945944996515,0.6508568491206108
bbox_width_n,0.0085288401560059,0.07933976748484305
bbox_height_n,0.0169208864753878,0.11552492906364
bbox_fill_area,0.2244767308351871,0.6076265041279574
