tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_7/path_19,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 0]",580.5,580.5,74.0,80.0,77.0,580.5,6.0,0.0,0.0,6.0
svg/g_7/path_18,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 1]",515.7517985611511,515.7517985611511,74.0,80.0,77.0,515.7517985611511,6.0,0.0,0.0,6.0
svg/g_7/path_17,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 2]",451.00359712230215,451.00359712230215,74.0,80.0,77.0,451.00359712230215,6.0,0.0,0.0,6.0
svg/g_7/path_16,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 3]",386.25539568345323,386.25539568345323,74.0,80.0,77.0,386.25539568345323,6.0,0.0,0.0,6.0
svg/g_7/path_15,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 4]",321.5071942446043,321.5071942446043,74.0,80.0,77.0,321.5071942446043,6.0,0.0,0.0,6.0
svg/g_7/path_14,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 5]",256.7589928057554,256.7589928057554,74.0,80.0,77.0,256.7589928057554,6.0,0.0,0.0,6.0
svg/g_7/path_13,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 6]",192.0107913669065,192.0107913669065,74.0,80.0,77.0,192.0107913669065,6.0,0.0,0.0,6.0
svg/g_7/path_12,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 7]",127.26258992805757,127.26258992805757,74.0,80.0,77.0,127.26258992805757,6.0,0.0,0.0,6.0
svg/g_7/path_11,6,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,"[0, 0, 8]",62.51438848920861,62.51438848920861,74.0,80.0,77.0,62.51438848920861,6.0,0.0,0.0,6.0
svg/g_6/text_21,7,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,"[0, 1, 0]",569.62,585.62,66.7,76.3,71.5,577.62,9.599999999999994,16.0,153.6,0.0
