tag_name,tag,opacity,fill_h,fill_s,fill_l,stroke_h,stroke_s,stroke_l,stroke_width,layer,bbox_min_top,bbox_max_bottom,bbox_min_left,bbox_max_right,bbox_center_x,bbox_center_y,bbox_width,bbox_height,bbox_fill_area,bbox_stroke_area
svg/g_12/polyline,4,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 0]",55.4,311.7,121.60227272727272,781.5681818181819,451.5852272727273,183.54999999999998,659.9659090909091,256.3,0.0,901.6000000000001
svg/g_12/line_179,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 1]",54.9,55.9,115.1590909090909,122.625,118.89204545454545,55.4,7.4659090909090935,1.0,0.0,6.299999999999997
svg/g_12/line_178,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 2]",83.1,84.1,115.1590909090909,122.11363636363637,118.63636363636364,83.6,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_177,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 3]",111.2,112.2,115.1590909090909,122.11363636363637,118.63636363636364,111.7,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_176,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 4]",139.4,140.4,115.1590909090909,122.11363636363637,118.63636363636364,139.9,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_175,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 5]",167.4,168.4,115.1590909090909,122.11363636363637,118.63636363636364,167.9,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_174,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 6]",195.3,196.3,115.1590909090909,122.11363636363637,118.63636363636364,195.8,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_173,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 7]",223.5,224.5,115.1590909090909,122.11363636363637,118.63636363636364,224.0,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_172,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 8]",251.3,252.3,115.1590909090909,122.11363636363637,118.63636363636364,251.8,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_171,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 9]",279.6,280.6,115.1590909090909,122.11363636363637,118.63636363636364,280.1,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/line_170,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 10]",311.2,318.0,166.29545454545456,167.3181818181818,166.8068181818182,314.6,1.022727272727252,6.800000000000011,0.0,5.800000000000011
svg/g_12/line_169,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 11]",311.2,318.0,520.465909090909,521.4886363636364,520.9772727272727,314.6,1.0227272727273657,6.800000000000011,0.0,5.800000000000011
svg/g_12/line_168,3,1.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,"[0, 0, 12]",311.2,312.2,115.1590909090909,122.11363636363637,118.63636363636364,311.7,6.9545454545454675,1.0,0.0,5.799999999999997
svg/g_12/g_24/path_32,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 13, 0]",308.0,315.2,100.8409090909091,107.18181818181819,104.01136363636364,311.6,6.3409090909090935,7.199999999999989,0.0,0.0
svg/g_12/g_24/path_31,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 13, 1]",307.7,315.4,107.79545454545455,112.9090909090909,110.35227272727272,311.54999999999995,5.11363636363636,7.699999999999989,0.0,0.0
svg/g_12/g_23/path_30,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 14, 0]",321.20000000000005,330.6,157.70454545454544,167.52272727272725,162.61363636363635,325.90000000000003,9.818181818181813,9.399999999999977,0.0,0.0
svg/g_12/g_23/path_29,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 14, 1]",321.6,330.70000000000005,169.1590909090909,177.13636363636363,173.14772727272725,326.15000000000003,7.9772727272727195,9.100000000000023,0.0,0.0
svg/g_12/g_22/path_28,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 15, 0]",321.5999999999999,330.29999999999995,510.64772727272725,520.0568181818181,515.3522727272727,325.94999999999993,9.409090909090878,8.700000000000045,0.0,0.0
svg/g_12/g_22/path_27,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 15, 1]",321.6,330.70000000000005,522.0,529.9772727272727,525.9886363636364,326.15000000000003,7.977272727272748,9.100000000000023,0.0,0.0
svg/g_12/g_21/path_26,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 16, 0]",276.4,283.6,94.60227272727273,100.94318181818181,97.77272727272728,280.0,6.340909090909079,7.2000000000000455,0.0,0.0
svg/g_12/g_21/path_25,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 16, 1]",276.3,283.70000000000005,102.06818181818181,104.82954545454545,103.44886363636363,280.0,2.7613636363636402,7.400000000000034,0.0,0.0
svg/g_12/g_21/path_24,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 16, 2]",276.1,283.8,107.79545454545455,112.9090909090909,110.35227272727272,279.95000000000005,5.11363636363636,7.699999999999989,0.0,0.0
svg/g_12/g_20/path_23,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 17, 0]",248.3,255.5,94.60227272727273,100.94318181818181,97.77272727272728,251.9,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_20/path_22,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 17, 1]",248.0,255.4,101.45454545454545,106.77272727272728,104.11363636363637,251.7,5.318181818181827,7.400000000000006,0.0,0.0
svg/g_12/g_20/path_21,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 17, 2]",248.10000000000005,255.8,107.79545454545455,112.9090909090909,110.35227272727272,251.95000000000005,5.11363636363636,7.69999999999996,0.0,0.0
svg/g_12/g_19/path_20,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 18, 0]",220.2,227.39999999999998,94.60227272727273,100.94318181818181,97.77272727272728,223.79999999999998,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_19/path_19,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 18, 1]",219.99999999999994,227.7,101.35227272727272,106.56818181818181,103.96022727272727,223.84999999999997,5.2159090909090935,7.7000000000000455,0.0,0.0
svg/g_12/g_19/path_18,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 18, 2]",220.00000000000006,227.70000000000002,107.79545454545455,112.9090909090909,110.35227272727272,223.85000000000002,5.11363636363636,7.69999999999996,0.0,0.0
svg/g_12/g_18/path_17,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 19, 0]",192.2,199.39999999999998,94.60227272727273,100.94318181818181,97.77272727272728,195.79999999999998,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_18/path_16,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 19, 1]",192.0,199.40000000000003,101.35227272727272,106.77272727272728,104.0625,195.70000000000002,5.420454545454561,7.400000000000034,0.0,0.0
svg/g_12/g_18/path_15,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 19, 2]",191.90000000000003,199.6,107.79545454545455,112.9090909090909,110.35227272727272,195.75,5.11363636363636,7.69999999999996,0.0,0.0
svg/g_12/g_17/path_14,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 20, 0]",164.1,171.29999999999998,94.60227272727273,100.94318181818181,97.77272727272728,167.7,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_17/path_13,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 20, 1]",164.2,171.7,101.45454545454545,106.67045454545455,104.0625,167.95,5.2159090909090935,7.5,0.0,0.0
svg/g_12/g_17/path_12,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 20, 2]",163.80000000000004,171.5,107.79545454545455,112.9090909090909,110.35227272727272,167.65000000000003,5.11363636363636,7.69999999999996,0.0,0.0
svg/g_12/g_16/path_11,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 21, 0]",136.0,143.2,94.60227272727273,100.94318181818181,97.77272727272728,139.6,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_16/path_10,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 21, 1]",135.89999999999998,143.49999999999997,101.45454545454547,106.77272727272728,104.11363636363637,139.7,5.318181818181813,7.599999999999994,0.0,0.0
svg/g_12/g_16/path_9,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 21, 2]",135.8,143.5,107.79545454545455,112.9090909090909,110.35227272727272,139.65,5.11363636363636,7.699999999999989,0.0,0.0
svg/g_12/g_15/path_8,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 22, 0]",108.0,115.2,94.60227272727273,100.94318181818181,97.77272727272728,111.6,6.340909090909079,7.200000000000003,0.0,0.0
svg/g_12/g_15/path_7,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 22, 1]",107.89999999999999,115.1,101.55681818181819,106.77272727272728,104.16477272727273,111.5,5.2159090909090935,7.200000000000003,0.0,0.0
svg/g_12/g_15/path_6,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 22, 2]",107.7,115.4,107.79545454545455,112.9090909090909,110.35227272727272,111.55000000000001,5.11363636363636,7.700000000000003,0.0,0.0
svg/g_12/g_14/path_5,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 23, 0]",79.9,87.1,94.60227272727273,100.94318181818181,97.77272727272728,83.5,6.340909090909079,7.199999999999989,0.0,0.0
svg/g_12/g_14/path_4,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 23, 1]",79.69999999999999,87.4,101.35227272727273,106.56818181818183,103.96022727272728,83.55,5.2159090909090935,7.700000000000017,0.0,0.0
svg/g_12/g_14/path_3,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 23, 2]",79.6,87.3,107.79545454545455,112.9090909090909,110.35227272727272,83.44999999999999,5.11363636363636,7.700000000000003,0.0,0.0
svg/g_12/g_13/path_2,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 24, 0]",51.8,59.099999999999994,94.60227272727273,100.94318181818181,97.77272727272728,55.449999999999996,6.340909090909079,7.299999999999997,0.0,0.0
svg/g_12/g_13/path_1,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 24, 1]",51.599999999999994,59.199999999999996,101.35227272727273,106.36363636363637,103.85795454545456,55.39999999999999,5.01136363636364,7.600000000000001,0.0,0.0
svg/g_12/g_13/path,6,1.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,"[0, 0, 24, 2]",51.599999999999994,59.3,107.79545454545455,112.9090909090909,110.35227272727272,55.449999999999996,5.11363636363636,7.700000000000003,0.0,0.0
svg/g_11/line_167,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 0]",172.7,214.8,130.39772727272728,132.4431818181818,131.42045454545456,193.75,2.0454545454545325,42.10000000000002,0.0,80.20000000000005
svg/g_11/line_166,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 1]",194.8,225.0,142.1590909090909,144.20454545454544,143.1818181818182,209.9,2.0454545454545325,30.19999999999999,0.0,56.39999999999998
svg/g_11/line_165,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 2]",194.8,252.1,154.02272727272725,156.0681818181818,155.04545454545453,223.45,2.045454545454561,57.29999999999998,0.0,110.59999999999997
svg/g_11/line_164,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 3]",236.2,269.7,165.7840909090909,167.82954545454544,166.8068181818182,252.95,2.0454545454545325,33.5,0.0,63.0
svg/g_11/line_163,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 4]",216.2,271.6,201.17045454545456,203.21590909090907,202.1931818181818,243.9,2.045454545454504,55.400000000000034,0.0,106.80000000000001
svg/g_11/line_162,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 5]",116.9,162.7,248.42045454545456,250.4659090909091,249.4431818181818,139.8,2.0454545454545325,45.79999999999998,0.0,87.59999999999997
svg/g_11/line_161,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 6]",184.5,220.5,283.8068181818182,285.85227272727275,284.8295454545455,202.5,2.045454545454561,36.0,0.0,68.0
svg/g_11/line_160,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 7]",195.7,235.4,295.6704545454545,297.7159090909091,296.6931818181818,215.55,2.045454545454618,39.70000000000002,0.0,75.40000000000003
svg/g_11/line_159,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 8]",227.2,264.3,319.2954545454545,321.34090909090907,320.31818181818176,245.75,2.045454545454561,37.10000000000002,0.0,70.20000000000005
svg/g_11/line_158,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 9]",164.1,204.8,354.68181818181824,356.72727272727275,355.7045454545455,184.45,2.045454545454504,40.70000000000002,0.0,77.40000000000003
svg/g_11/line_157,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 10]",191.0,231.7,366.44318181818187,368.4886363636364,367.4659090909091,211.35,2.045454545454504,40.69999999999999,0.0,77.39999999999998
svg/g_11/line_156,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 11]",171.7,219.9,449.0795454545455,451.125,450.10227272727275,195.8,2.045454545454504,48.20000000000002,0.0,92.40000000000003
svg/g_11/line_155,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 12]",192.1,223.6,460.8409090909091,462.8863636363636,461.8636363636364,207.85,2.045454545454504,31.5,0.0,59.0
svg/g_11/line_154,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 13]",174.8,213.1,472.7045454545454,474.75,473.7272727272727,193.95,2.045454545454618,38.29999999999998,0.0,72.59999999999997
svg/g_11/line_153,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 14]",173.6,246.7,378.30681818181813,380.35227272727275,379.32954545454544,210.14999999999998,2.045454545454618,73.1,0.0,142.2
svg/g_11/line_152,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 15]",158.6,222.7,401.8295454545454,403.875,402.8522727272727,190.64999999999998,2.045454545454618,64.1,0.0,124.19999999999999
svg/g_11/line_151,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 16]",106.1,155.5,425.4545454545455,427.5,426.47727272727275,130.8,2.045454545454504,49.400000000000006,0.0,94.80000000000001
svg/g_11/line_150,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 17]",135.0,213.3,413.69318181818187,415.7386363636364,414.7159090909091,174.15,2.045454545454504,78.30000000000001,0.0,152.60000000000002
svg/g_11/line_149,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 18]",123.4,212.3,437.31818181818187,439.3636363636364,438.3409090909091,167.85000000000002,2.045454545454504,88.9,0.0,173.8
svg/g_11/line_148,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 19]",165.3,227.6,390.06818181818176,392.1136363636364,391.09090909090907,196.45,2.045454545454618,62.29999999999998,0.0,120.59999999999997
svg/g_11/line_147,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 20]",227.2,282.9,331.05681818181813,333.10227272727275,332.07954545454544,255.04999999999998,2.045454545454618,55.69999999999999,0.0,107.40000000000003
svg/g_11/line_146,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 21]",247.5,308.5,342.81818181818176,344.8636363636364,343.84090909090907,278.0,2.045454545454618,61.0,0.0,118.0
svg/g_11/line_145,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 22]",214.6,250.8,307.4318181818182,309.47727272727275,308.4545454545455,232.7,2.045454545454561,36.20000000000002,0.0,68.40000000000003
svg/g_11/line_144,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 23]",100.6,140.8,260.2840909090909,262.3295454545455,261.3068181818182,120.7,2.045454545454618,40.20000000000002,0.0,76.4
svg/g_11/line_143,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 24]",114.2,205.0,272.0454545454545,274.0909090909091,273.0681818181818,159.6,2.045454545454618,90.8,0.0,177.6
svg/g_11/line_142,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 25]",165.6,281.2,224.79545454545456,226.8409090909091,225.8181818181818,223.39999999999998,2.0454545454545325,115.6,0.0,227.2
svg/g_11/line_141,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 26]",148.3,224.4,236.6590909090909,238.70454545454547,237.6818181818182,186.35000000000002,2.045454545454561,76.1,0.0,148.20000000000002
svg/g_11/line_140,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 27]",265.5,293.0,189.4090909090909,191.45454545454544,190.4318181818182,279.25,2.0454545454545325,27.5,0.0,51.0
svg/g_11/line_139,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 28]",239.9,271.6,213.0340909090909,215.07954545454547,214.0568181818182,255.75,2.045454545454561,31.700000000000017,0.0,59.39999999999998
svg/g_11/line_138,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 29]",249.5,297.0,177.64772727272728,179.6931818181818,178.67045454545456,273.25,2.0454545454545325,47.5,0.0,91.0
svg/g_11/line_137,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 30]",192.9,233.0,484.4659090909091,486.5113636363636,485.4886363636364,212.95,2.045454545454504,40.099999999999994,0.0,76.19999999999999
svg/g_11/line_136,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 31]",208.8,233.0,496.3295454545455,498.375,497.35227272727275,220.9,2.045454545454504,24.19999999999999,0.0,44.39999999999998
svg/g_11/line_135,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 32]",192.9,230.6,508.0909090909091,510.1363636363636,509.1136363636364,211.75,2.045454545454504,37.69999999999999,0.0,71.39999999999998
svg/g_11/line_134,3,1.0,0.0,0.0,0.0,128.2258064516129,52.10084033613446,46.666666666666664,2.0,"[0, 1, 33]",206.9,233.0,519.9545454545454,522.0,520.9772727272727,219.95,2.045454545454618,26.099999999999994,0.0,48.19999999999999
svg/g_11/line_133,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 34]",185.2,250.2,531.715909090909,533.7613636363636,532.7386363636363,217.7,2.045454545454618,65.0,0.0,126.0
svg/g_11/line_132,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 35]",190.7,230.6,543.4772727272727,545.5227272727273,544.5,210.64999999999998,2.045454545454504,39.900000000000006,0.0,75.80000000000001
svg/g_11/line_131,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 36]",202.6,264.9,555.3409090909091,557.3863636363636,556.3636363636364,233.75,2.045454545454504,62.29999999999998,0.0,120.60000000000002
svg/g_11/line_130,3,1.0,0.0,0.0,0.0,358.2142857142857,82.3529411764706,60.0,2.0,"[0, 1, 37]",245.3,289.6,567.1022727272727,569.1477272727273,568.125,267.45000000000005,2.045454545454504,44.30000000000001,0.0,84.60000000000002
