tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,containment_mds,adjacency_mds,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_9/path_59,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,0.0,0.0,0.0,0.0,0.0,0.006342093894609259,0.9936578875612084,0.018084277175780792,0.62671766974619,0.0577086240153472,0.7049830972247955,0.4373528799683402,0.0,0.987315793666599,0.6086333925704092,0.0
svg/g_8/path_58,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.0,0.011299471700111538,0.1510048010989667,0.18717329608666244,0.37323164833467354,1.0,0.4373528799683402,0.0,0.011299471700111538,0.03616849498769574,0.0
svg/g_8/path_57,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.09887005283000619,0.11016952453011772,0.1532844297805256,0.18945292476822123,0.33367816505230163,0.929355351744701,0.7378540924716208,0.0,0.011299471700111538,0.036168494987695636,0.0
svg/g_8/path_56,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.19774010565978492,0.20903957735995077,0.18069490477074857,0.21686339975857832,0.31274567366950057,0.8478955191841671,0.7378540924716201,0.0,0.011299471700165906,0.03616849498782976,0.0
svg/g_8/path_55,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.2966101584899046,0.30790963019004414,0.0,0.036168494987745346,0.1381815899595923,0.8578109553786935,0.4373528799683402,0.0,0.011299471700139558,0.036168494987745346,0.0
svg/g_8/path_54,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.3954802113197971,0.40677968301996315,0.2211239821111656,0.2572924770989952,0.25930565782197695,0.6858246132265972,0.7378540924716209,0.0,0.011299471700165944,0.03616849498782963,0.0
svg/g_8/path_53,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.4943502641498034,0.5056497358499694,0.16226561747766433,0.19843411246549397,0.16999973108086594,0.6288638992777872,0.7378540924716213,0.0,0.011299471700165944,0.03616849498782976,0.0
svg/g_8/path_52,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.5932203169800365,0.6045197886801499,0.07698553246280652,0.11315402745050476,0.053303723228998845,0.57797839358593,0.7162536979761347,0.0,0.011299471700113322,0.03616849498769824,0.0
svg/g_8/path_51,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.6920903698100428,0.703389841510156,0.06154997440213097,0.09771846938982914,0.0005359632982850155,0.5151830075100275,0.716253697976135,0.0,0.011299471700113169,0.03616849498769824,0.0
svg/g_8/path_50,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.790960422639822,0.8022598943399877,0.19283461413519437,0.22900310912302413,0.06679096387184066,0.403511653304023,0.35156890816515185,0.0,0.011299471700165794,0.03616849498782976,0.0
svg/g_8/path_49,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.8898304754698281,0.901129947169994,0.2415582440277895,0.27772673901561923,0.06437896259365143,0.3178946661980543,0.35156890816515185,0.0,0.011299471700165794,0.03616849498782976,0.0
svg/g_8/path_48,0.75,1.0,0.07659826286160587,0.616165098186999,0.9905660377358493,0.5843137254901961,1.0,0.5,0.0,0.4,1.0,0.9887005282998343,1.0,0.21164841710950533,0.24781691209733508,0.0,0.2589736923792298,0.4373528799683403,0.0,0.011299471700165794,0.03616849498782976,0.0
svg/g_7/path_47,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,0.0,0.0,0.0,0.0,0.0,0.006342093894609259,0.9936578875612084,0.5069135696382421,0.7664616544663274,0.9107450977412345,0.3106340794484503,0.4373528799683402,0.0,0.987315793666599,0.25954808482808517,0.0
svg/g_6/path_46,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,9.273309596866801e-09,0.011299443882453176,0.5144820408452699,0.5506504764691891,0.638488549206007,0.8625363925669443,0.4373528799683403,0.0,0.01129943460914358,0.03616843562391936,0.0
svg/g_6/path_45,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.09887006210331577,0.11016949671245936,0.5028916395968622,0.5390600752207816,0.5889537175837353,0.794699839630217,0.7162536979761347,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g_6/path_44,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.19774011493332197,0.20903954954246548,0.49745348924808325,0.5336219248720027,0.5447197688947237,0.7246375779514195,0.7162536979761349,0.0,0.01129943460914356,0.03616843562391947,0.0
svg/g_6/path_43,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.2966101677633281,0.3079096023724717,0.48882935182628245,0.5249977874502016,0.4987119326584133,0.6560089464831983,0.7378540924716208,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g_6/path_42,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.3954802205933343,0.40677965520247783,0.5067093310033283,0.5428777666272476,0.47251772373379974,0.5784324050689987,0.7378540924716214,0.0,0.011299434609143523,0.03616843562391936,0.0
svg/g_6/path_41,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.4943502734233405,0.5056497080324841,0.514124990569845,0.5502934261937643,0.43834509980884184,0.5051800980419766,1.0,0.0,0.011299434609143523,0.03616843562391947,0.0
svg/g_6/path_40,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.5932203262533466,0.6045197608624902,0.5022324698576162,0.5384009054815356,0.38920435624483446,0.4392146485146986,0.7378540924716221,0.0,0.011299434609143446,0.03616843562391947,0.0
svg/g_6/path_39,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.6920903790833528,0.7033898136924964,0.5063797461337052,0.5425481817576245,0.3514516173615104,0.3678349621699926,0.7162536979761349,0.0,0.011299434609143599,0.03616843562391947,0.0
svg/g_6/path_38,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.7909604319133591,0.8022598665225027,0.6064636848758789,0.6426321204997985,0.3847835025443207,0.2621172017471426,0.14387167618593055,0.0,0.011299434609143599,0.03616843562391947,0.0
svg/g_6/path_37,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.8898304847433651,0.9011299193525087,0.6086334519342305,0.6448018875581496,0.3448415584277552,0.19110215519550325,0.14387167618593044,0.0,0.011299434609143446,0.03616843562391936,0.0
svg/g_6/path_36,0.75,1.0,0.5389074985506745,0.11264792494342823,0.5042735042735044,0.5411764705882354,1.0,0.5,0.0,0.4,1.0,0.9887005375733715,0.9999999721825148,0.5769658390446236,0.613134274668543,0.27992682530030144,0.1319096774008497,0.4373528799683402,0.0,0.011299434609143446,0.03616843562391936,0.0
svg/g_5/path_35,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,0.0,0.0,0.0,0.0,0.0,0.006342093894609259,0.9936578875612084,0.6628896091873104,0.9058760543168417,0.9508990056523624,0.3211196269003654,0.4373528799683403,0.0,0.987315793666599,0.24298644512953105,0.0
svg/g_4/path_34,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,9.273309596866801e-09,0.011299443882453176,0.6981157440368655,0.7342841796607846,0.7740110686319841,0.8021580041425922,0.4373528799683403,0.0,0.01129943460914358,0.03616843562391913,0.0
svg/g_4/path_33,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.09887006210331577,0.11016949671245936,0.6824055319181709,0.7185739675420899,0.721882614302578,0.7349471647097747,0.017636648266959633,0.0,0.011299434609143599,0.03616843562391913,0.0
svg/g_4/path_32,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.19774011493332197,0.20903954954246548,0.6729299669165104,0.7090984025404298,0.6745394052708036,0.6656890551221613,0.731123961308169,0.0,0.01129943460914356,0.03616843562391936,0.0
svg/g_4/path_31,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.2966101677633281,0.3079096023724717,0.6641685024657,0.7003369380896192,0.6279399169388574,0.5963649123795051,0.0,0.0,0.011299434609143599,0.03616843562391913,0.0
svg/g_4/path_30,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.3954802205933343,0.40677965520247783,0.6783955826710912,0.7145640182950106,0.5980397870332247,0.5199249835521207,0.017636648266959133,0.0,0.011299434609143523,0.03616843562391936,0.0
svg/g_4/path_29,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.4943502734233405,0.5056497080324841,0.67119964635099,0.7073680819749092,0.5529832483102477,0.45066209930356066,0.017636648266958637,0.0,0.011299434609143523,0.03616843562391913,0.0
svg/g_4/path_28,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.5932203262533466,0.6045197608624902,0.6563408618121547,0.6925092974360738,0.5025108999515917,0.3847580006382844,0.5791030590647667,0.0,0.011299434609143446,0.03616843562391913,0.0
svg/g_4/path_27,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.6920903790833528,0.7033898136924964,0.6448053913753506,0.68097382699927,0.453887070271176,0.31842322997910594,0.5614664107978034,0.0,0.011299434609143599,0.03616843562391924,0.0
svg/g_4/path_26,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.7909604319133591,0.8022598665225027,0.7459604809437991,0.7821289165677187,0.4853247615360843,0.2106079022747058,0.18827437341494038,0.0,0.011299434609143599,0.03616843562391958,0.0
svg/g_4/path_25,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.8898304847433651,0.9011299193525087,0.7483774366543676,0.784545872278287,0.44638032351169776,0.13925442618421077,0.5705958114928865,0.0,0.011299434609143446,0.03616843562391936,0.0
svg/g_4/path_24,0.75,1.0,0.1316670927084751,1.4959818163145178,1.0,0.44313725490196076,1.0,0.5,0.0,0.4,1.0,0.9887005375733715,0.9999999721825148,0.7139632831845696,0.7501317188084892,0.3806253125592125,0.08182141904127507,0.4373528799683403,0.0,0.011299434609143446,0.03616843562391958,0.0
svg/g_3/path_23,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,0.0,0.0,0.0,0.0,0.0,0.006342093894609259,0.9936578875612084,0.800326499820087,0.9445748110917382,0.9678945317620757,0.2929604303898,0.4373528799683402,0.0,0.987315793666599,0.14424831127165103,0.0
svg/g_2/path_22,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,9.273309596866801e-09,0.011299443882453176,0.8302792767556745,0.8664477123795938,0.8726744407914563,0.7640889671549428,0.4373528799683402,0.0,0.01129943460914358,0.03616843562391936,0.0
svg/g_2/path_21,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.09887006210331577,0.11016949671245936,0.8162169889850948,0.8523854246090139,0.8215824863547154,0.6966599873028356,0.979950441368075,0.0,0.011299434609143599,0.03616843562391913,0.0
svg/g_2/path_20,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.19774011493332197,0.20903954954246548,0.8091858450998046,0.845354280723724,0.7749240155707575,0.6267349130613025,0.9799504413680761,0.0,0.01129943460914356,0.03616843562391936,0.0
svg/g_2/path_19,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.2966101677633281,0.3079096023724717,0.8015229968810708,0.8376914325049901,0.7269975516604784,0.556075252178417,0.9799504413680751,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g_2/path_18,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.3954802205933343,0.40677965520247783,0.817645190086794,0.8538136257107134,0.6953860992083438,0.4774818283452088,0.979950441368076,0.0,0.011299434609143523,0.03616843562391936,0.0
svg/g_2/path_17,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.4943502734233405,0.5056497080324841,0.8094879645636259,0.8456564001875451,0.6478990028709405,0.40458578467668355,0.004854577904949636,0.0,0.011299434609143523,0.03616843562391913,0.0
svg/g_2/path_16,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.5932203262533466,0.6045197608624902,0.7949038340828094,0.8310722697067288,0.5980807273706255,0.33533508741955115,0.20591102168190287,0.0,0.011299434609143446,0.03616843562391936,0.0
svg/g_2/path_15,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.6920903790833528,0.7033898136924964,0.7822422820081274,0.8184107176320465,0.5502978161793386,0.26768945866673144,0.2059110216819,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g_2/path_14,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.7909604319133591,0.8022598665225027,0.8836994910403967,0.919867926664316,0.5799175919315814,0.15575666058062623,0.20196847445756935,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g_2/path_13,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.8898304847433651,0.9011299193525087,0.8877918365048817,0.9239602721288013,0.543981129219758,0.08396096171535174,0.8704400310354476,0.0,0.011299434609143446,0.03616843562391958,0.0
svg/g_2/path_12,0.75,1.0,1.9621186301169313,1.272631145656397,0.9901477832512317,0.6019607843137255,1.0,0.5,0.0,0.4,1.0,0.9887005375733715,0.9999999721825148,0.8495050608170142,0.8856734964409335,0.47754434530374085,0.029688429436484445,0.4373528799683403,0.0,0.011299434609143446,0.03616843562391936,0.0
svg/g_1/path_11,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,0.0,0.0,0.0,0.0,0.0,0.006342093894609259,0.9936578875612084,0.9355112271771066,1.0,1.0,0.2631169691194769,0.4373528799683403,0.0,0.987315793666599,0.0644887728228935,0.0
svg/g/path_10,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,9.273309596866801e-09,0.011299443882453176,0.9264631278739764,0.9626315634978958,0.9457166564700576,0.7396737225377809,0.4373528799683402,0.0,0.01129943460914358,0.03616843562391936,0.0
svg/g/path_9,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.09887006210331577,0.11016949671245936,0.9217940088876511,0.9579624445115704,0.9018339865115547,0.6712179202371469,0.4373528799683403,0.0,0.011299434609143599,0.03616843562391958,0.0
svg/g/path_8,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.19774011493332197,0.20903954954246548,0.9228651597139258,0.9590335953378452,0.861026335183695,0.6004318527919873,0.4373528799683402,0.0,0.01129943460914356,0.03616843562391936,0.0
svg/g/path_7,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.2966101677633281,0.3079096023724717,0.9210249775251975,0.9571934131491169,0.8151862053250332,0.5280762783906455,0.4373528799683403,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g/path_6,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.3954802205933343,0.40677965520247783,0.9220686629456701,0.9582370985695895,0.7682629358604925,0.4497295883038666,0.4373528799683402,0.0,0.011299434609143523,0.03616843562391958,0.0
svg/g/path_5,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.4943502734233405,0.5056497080324841,0.9198988958873191,0.9560673315112385,0.7202352208987635,0.36673118990080117,0.4373528799683403,0.0,0.011299434609143523,0.03616843562391936,0.0
svg/g/path_4,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.5932203262533466,0.6045197608624902,0.917427009365147,0.953595444989066,0.6780902584470826,0.28719935338835123,0.4373528799683402,0.0,0.011299434609143446,0.03616843562391913,0.0
svg/g/path_3,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.6920903790833528,0.7033898136924964,0.9216017510470378,0.9577701866709571,0.6431857993614112,0.21081921397223782,0.4373528799683403,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g/path_2,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.7909604319133591,0.8022598665225027,0.9264905932797785,0.9626590289036977,0.6088830317090839,0.13748872771341336,0.4373528799683403,0.0,0.011299434609143599,0.03616843562391936,0.0
svg/g/path_1,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.8898304847433651,0.9011299193525087,0.9220411975398682,0.9582096331637878,0.5674300680773938,0.06972113637148339,0.4373528799683402,0.0,0.011299434609143446,0.03616843562391958,0.0
svg/g/path,0.75,1.0,0.2017536809921069,0.3976688500580856,0.3767441860465117,0.5784313725490197,1.0,0.5,0.0,0.4,1.0,0.9887005375733715,0.9999999721825148,0.9234968640473697,0.9596652996712891,0.5289899125769784,0.0,0.4373528799683402,0.0,0.011299434609143446,0.03616843562391936,0.0
