tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_min_left_n,bbox_max_right_n,bbox_min_top_n,bbox_max_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area
svg/g/polyline_14,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.25,0.024588842397770354,0.10984088064819328,0.024588842397770354,0.10984088064819328,0.057125053113008514,0.057125053113008514,0.034375967791886064,0.14313050133945657,0.0,0.11936917712424597
svg/g/path_16,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.24242424242424243,0.00391809191524159,0.039420294754595166,0.00391809191524159,0.039420294754595166,0.014037366067694425,0.014037366067694425,0.0498606379684113,0.14313050133945657,0.0,0.12316985784908441
svg/g/path_15,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.23484848484848486,6.5321494725259435e-06,0.006281399330471328,6.5321494725259435e-06,0.006281399330471328,0.00030012169967043165,0.00030012169967043165,0.12449674821926293,0.14313050133945657,0.0,0.13620648080239026
svg/g/polyline_13,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,6.03102168432826e-10,1.0472199277319199e-05,6.03102168432826e-10,1.0472199277319199e-05,1.2007725615786333e-07,1.2007725615786333e-07,0.128213069061629,0.14313050133945657,0.0,0.13674925514068437
svg/g/polyline_12,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.2196969696969697,1.8345018347889913e-05,0.002887129566563314,1.8345018347889913e-05,0.002887129566563314,0.000281272670914014,0.000281272670914014,0.07928151130380925,0.14274779946421737,0.0,0.1291553472938648
svg/g/path_14,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.21212121212121213,1.41796557541688e-07,7.2061653986532e-05,1.41796557541688e-07,7.2061653986532e-05,3.9311521779485086e-06,3.9311521779485086e-06,0.08113967172499227,0.14274779946421737,0.0,0.1294891676772957
svg/g/path_13,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.20454545454545453,2.446453285016279e-09,5.569955980570489e-07,2.446453285016279e-09,5.569955980570489e-07,4.23304775872611e-08,4.23304775872611e-08,0.05682873954784764,0.14274779946421737,0.0,0.1247227748345081
svg/g/polyline_11,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.19696969696969696,8.7503134530579e-11,9.609991485199845e-09,8.7503134530579e-11,9.609991485199845e-09,1.0195647667265255e-09,1.0195647667265255e-09,0.04180860947661815,0.14274779946421737,0.0,0.121245915157175
svg/g/polyline_10,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.1893939393939394,0.002716528501593351,0.06257543437615122,0.002716528501593351,0.06257543437615122,0.02524394383872956,0.02524394383872956,0.1683183648188294,0.14313050133945646,0.0,0.14159464390145826
svg/g/path_12,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.18181818181818182,8.792930602114094e-06,0.0007211924754964966,8.792930602114094e-06,0.0007211924754964966,0.0001122159969193235,0.0001122159969193235,0.11443171260452153,0.14313050133945646,0.0,0.13481779053448711
svg/g/path_11,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.17424242424242425,1.604748667654578e-07,2.334374693322044e-06,1.604748667654578e-07,2.334374693322044e-06,7.107756488824633e-07,7.107756488824633e-07,0.06178383400433572,0.14313050133945646,0.0,0.1257710189921499
svg/g/polyline_9,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.16666666666666669,3.7559018517231107e-10,4.2603369097607024e-08,3.7559018517231107e-10,4.2603369097607024e-08,4.888262077522557e-09,4.888262077522557e-09,0.07912666460204398,0.14313050133945646,0.0,0.1291553472938648
svg/g/path_10,0.75,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.1590909090909091,0.0004999399833733254,0.028113300140835233,0.0004999399833733254,0.028113300140835233,0.005126023841287816,0.005126023841287816,0.10792815113038096,0.14313050133945657,0.0,0.13386252300588017
svg/g/path_9,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.15151515151515152,2.034302411856239e-05,0.00032615739055211917,2.034302411856239e-05,0.00032615739055211917,9.371980734230704e-05,9.371980734230704e-05,0.058067513161969654,0.14313050133945657,0.0,0.12498899774168733
svg/g/path_8,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.14393939393939392,9.790712614677763e-08,1.3148925680214518e-05,9.790712614677763e-08,1.3148925680214518e-05,1.3900893949166312e-06,1.3900893949166312e-06,0.07990089811087024,0.14313050133945657,0.0,0.12926711825571371
svg/g/polyline_8,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.13636363636363635,9.801392132656424e-10,6.387393255690931e-08,9.801392132656424e-10,6.387393255690931e-08,9.120853059578726e-09,9.120853059578726e-09,0.05884174667079592,0.14313050133945657,0.0,0.12518681530959685
svg/g/polyline_7,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.12878787878787878,2.2093895241466202e-08,8.498965327754049e-10,2.2093895241466202e-08,8.498965327754049e-10,4.865516307560717e-09,4.865516307560717e-09,0.04691855063487141,0.14313050133945657,0.0,0.12252054777498661
svg/g/path_7,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.12121212121212122,2.5603911965369138e-06,3.542044999949733e-08,2.5603911965369138e-06,3.542044999949733e-08,3.5563354650610146e-07,3.5563354650610146e-07,0.06797770207494577,0.14313050133945657,0.0,0.1270222168115302
svg/g/path_6,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.11363636363636365,0.012590981188588805,4.104763210150473e-06,0.012590981188588805,4.104763210150473e-06,0.00044451689265906976,0.00044451689265906976,0.16971198513471666,0.14313050133945657,0.0,0.1417218335773089
svg/g/polyline_6,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.10606060606060605,0.5266313504422008,0.020298170908976475,0.5266313504422008,0.020298170908976475,0.2097202036964801,0.2097202036964801,0.17482192629296994,0.14313050133945657,0.0,0.14229868874188492
svg/g/polyline_5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.09848484848484848,1.850185784244943e-06,3.021364135629773e-10,1.850185784244943e-06,3.021364135629773e-10,3.83129261618854e-08,3.83129261618854e-08,0.1407556519046144,0.14274779946421737,0.0,0.1383488340778797
svg/g/path_5,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0018268054377585787,7.267774022716912e-06,0.0018268054377585787,7.267774022716912e-06,0.00019018020270402606,0.00019018020270402606,0.14385258593991945,0.14274779946421737,0.0,0.1387331883821797
svg/g/path_4,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.08333333333333334,0.02928662066035468,0.007175932935036593,0.02928662066035468,0.007175932935036593,0.019209343071526934,0.019209343071526934,0.10080520284917935,0.14274779946421737,0.0,0.13277247800688302
svg/g/polyline_4,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.07575757575757575,0.07640810515655948,0.11504171238422584,0.07640810515655948,0.11504171238422584,0.11272788068754556,0.11272788068754556,0.07417157014555587,0.14274779946421737,0.0,0.12821359688755496
svg/g/polyline_3,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.06818181818181818,8.905125100354384e-05,8.878774342055307e-11,8.905125100354384e-05,8.878774342055307e-11,1.9243931108819305e-07,1.9243931108819305e-07,0.1834933415918241,0.14313050133945646,0.0,0.14320750910122915
svg/g/path_3,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.06060606060606061,0.017014786820898412,2.36416043931202e-05,0.017014786820898412,2.36416043931202e-05,0.0009359495336320805,0.0009359495336320805,0.12372251471043673,0.14313050133945646,0.0,0.136100732308065
svg/g/path_2,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.05303030303030304,0.10020486886949248,0.004517138774804504,0.10020486886949248,0.004517138774804504,0.025037289134817564,0.025037289134817564,0.06673892846082383,0.14313050133945646,0.0,0.12677695153384103
svg/g/polyline_2,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.04545454545454544,0.3279669296234028,0.026602701718168503,0.3279669296234028,0.026602701718168503,0.11665872347320824,0.11665872347320824,0.08547537937441932,0.14313050133945646,0.0,0.13027790953970542
svg/g/polyline_1,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,0.03787878787878787,7.434660860641976e-05,5.620701228859769e-10,7.434660860641976e-05,5.620701228859769e-10,3.8085580424683e-07,3.8085580424683e-07,0.16274388355528016,0.14313050133945657,0.0,0.1409749325744254
svg/g/path_1,0.75,1.0,1.0,0.0,0.91,0.63,1.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.005426328634260234,4.85032137174796e-05,0.005426328634260234,4.85032137174796e-05,0.0006457678397283734,0.0006457678397283734,0.0876432331991329,0.14313050133945657,0.0,0.13062354011850238
svg/g/path,0.75,1.0,1.0,0.0,0.95,0.79,1.0,0.0,0.0,0.0,1.0,0.022727272727272735,0.24401721570740856,0.003540099304893874,0.24401721570740856,0.003540099304893874,0.04266064271779617,0.04266064271779617,0.1204707339733664,0.14313050133945657,0.0,0.13567319381998966
svg/g/polyline,0.5,1.0,1.0,0.0,0.95,0.78,1.0,0.0,0.0,0.0,1.0,0.015151515151515138,0.8558616840074147,0.1597267877310655,0.8558616840074147,0.1597267877310655,0.46699417248964237,0.46699417248964237,0.08857231340972437,0.14313050133945657,0.0,0.13080768256984907
svg/g/line_1,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.007575757575757569,2.8911938766723534e-11,3.289151151861151e-11,2.8911938766723534e-11,3.289151151861151e-11,9.369867262616718e-10,9.369867262616718e-10,0.0015484670176525242,1.0,0.0,0.13872365140761367
svg/g/line,0.375,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,0.029016620281706405,0.02872100621714289,0.029016620281706405,0.02872100621714289,0.8771546169849811,0.8771546169849811,0.0015484670176525242,1.0,0.0,0.13872365140761367
